Minor Nm,Minor Dept,Minor Div,Minor Clg,Academic Yr,Ucb Level1 Ethnic Rollup Desc,Person Gender Desc,Entry Status Desc
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
English UG,English,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Underrepresented Minority,Female,New Freshmen
Medieval Studies UG,Medieval Studies Program,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Celtic Studies UG,Scandinavian,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Political Economy UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Male,New Freshmen
Demography UG,Demography,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Male,New Freshmen
Applied Language Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Journalism UG,Journalism,Grad School of Journalism,Grad School of Journalism,2017-18,Asian/Pacific Islander,Female,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2017-18,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Asian/Pacific Islander,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Female,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Dance & Performance Stds UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Asian/Pacific Islander,Female,New Freshmen
Chemistry UG,Chemistry,Clg of Chemistry,Clg of Chemistry,2017-18,Asian/Pacific Islander,Male,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Asian/Pacific Islander,Female,New Freshmen
French UG,French,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,White/Other,Female,New Freshmen
Theater & Performance St UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Political Economy UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Food Systems UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,Underrepresented Minority,Female,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,Asian/Pacific Islander,Female,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,White/Other,Female,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2017-18,International,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Underrepresented Minority,Male,New Freshmen
Linguistics UG,Linguistics,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,White/Other,Female,New Freshmen
Dance & Performance Stds UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,White/Other,Female,New Freshmen
Philosophy UG,Philosophy,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Male,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2017-18,Underrepresented Minority,Female,New Freshmen
Scandinavian UG,Scandinavian,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Underrepresented Minority,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Male,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2017-18,White/Other,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Asian/Pacific Islander,Female,New Freshmen
History & Theory of LAEP UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2017-18,White/Other,Female,New Freshmen
Mathematics UG,Mathematics,L&S Math & Phys Sciences Div,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Male,New Freshmen
Journalism UG,Journalism,Grad School of Journalism,Grad School of Journalism,2017-18,International,Male,New Freshmen
Russian Lang Lit Cultr UG,Slavic Languages & Literatures,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Asian/Pacific Islander,Female,New Freshmen
Gender & Women's Studies UG,Gender & Womens Studies,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Male,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,White/Other,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Underrepresented Minority,Male,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,White/Other,Female,New Freshmen
History of Art UG,History of Art,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Male,New Freshmen
Nutritional Science UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2017-18,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Asian/Pacific Islander,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2017-18,White/Other,Male,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,Asian/Pacific Islander,Male,New Freshmen
Philosophy UG,Philosophy,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Female,New Freshmen
Theater & Performance St UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Rhetoric UG,Rhetoric,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Journalism UG,Journalism,Grad School of Journalism,Grad School of Journalism,2017-18,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Korean UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Female,New Freshmen
Structural Engineering UG,Civil & Environmental Eng,Clg of Engineering,Clg of Engineering,2017-18,International,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Asian/Pacific Islander,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2017-18,Underrepresented Minority,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,Asian/Pacific Islander,Female,New Freshmen
Global Public Health UG,Public Health,School of Public Health,School of Public Health,2017-18,Asian/Pacific Islander,Female,New Freshmen
Political Economy UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,White/Other,Female,New Freshmen
African American Studies UG,African American Studies,L&S Social Sciences Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
English UG,English,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Peace & Conflict Studies UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Male,New Freshmen
Journalism UG,Journalism,Grad School of Journalism,Grad School of Journalism,2017-18,Asian/Pacific Islander,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Underrepresented Minority,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Asian/Pacific Islander,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Forestry & Nat Resources UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,Underrepresented Minority,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2017-18,International,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,International,Female,New Freshmen
Political Economy UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2017-18,Asian/Pacific Islander,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2017-18,White/Other,Female,New Freshmen
Food Systems UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,White/Other,Female,New Freshmen
Environ Econ & Policy UG,Ag & Resource Econ & Pol,Clg of Natural Resources,Clg of Natural Resources,2017-18,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2017-18,White/Other,Female,New Freshmen
Food Systems UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2017-18,White/Other,Female,New Freshmen
